	precision	recall	f1-score	support
Arf_fam	0.8888888888888888	0.8	0.8421052631578947	10.0
Mitoch_Rho_fam	0.8888888888888888	1.0	0.9411764705882353	8.0
Rab_fam	0.7647058823529411	0.9629629629629629	0.8524590163934426	27.0
Ran_fam	1.0	1.0	1.0	8.0
Ras_fam	1.0	0.6	0.75	5.0
Rheb_fam	0.5	0.2	0.2857142857142857	5.0
Rho_fam	1.0	1.0	1.0	4.0
SRP_fam	0.0	0.0	0.0	2.0
accuracy	0.8405797101449275	0.8405797101449275	0.8405797101449275	0.8405797101449275
macro avg	0.7553104575163399	0.6953703703703703	0.7089318794817323	69.0
weighted avg	0.8137254901960783	0.8405797101449275	0.8137018734417276	69.0
